Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.28011189949957915
75% Corpus,5,0.9099999999999999,symmetric,0.3135094124877034
75% Corpus,5,symmetric,0.01,0.3310815520268117
75% Corpus,5,symmetric,0.31,0.3531241217088632
75% Corpus,5,symmetric,0.61,0.3303135152986584
75% Corpus,5,symmetric,0.9099999999999999,0.28237180372448956
75% Corpus,5,symmetric,symmetric,0.33963277048928375
75% Corpus,5,asymmetric,0.01,0.3852026908157785
75% Corpus,5,asymmetric,0.31,0.38447549646346413
75% Corpus,5,asymmetric,0.61,0.35637311381616243
75% Corpus,5,asymmetric,0.9099999999999999,0.35037578029602773
75% Corpus,5,asymmetric,symmetric,0.44070333333321593
75% Corpus,6,0.01,0.01,0.3415767558436289
75% Corpus,6,0.01,0.31,0.35240581055587406
75% Corpus,6,0.01,0.61,0.37060000790217823
75% Corpus,6,0.01,0.9099999999999999,0.38093441158076086
75% Corpus,6,0.01,symmetric,0.33291635492331806
75% Corpus,6,0.31,0.01,0.3372798515043644
75% Corpus,6,0.31,0.31,0.3766700303186146
75% Corpus,6,0.31,0.61,0.33913980669075133
75% Corpus,6,0.31,0.9099999999999999,0.36372534012178276
75% Corpus,6,0.31,symmetric,0.37845005142941707
75% Corpus,6,0.61,0.01,0.3631719299465596
75% Corpus,6,0.61,0.31,0.34410512071894495
75% Corpus,6,0.61,0.61,0.35677752353405556
75% Corpus,6,0.61,0.9099999999999999,0.34082900931901566
75% Corpus,6,0.61,symmetric,0.3407130867116131
75% Corpus,6,0.9099999999999999,0.01,0.35070018003771847
75% Corpus,6,0.9099999999999999,0.31,0.33957730931860003
75% Corpus,6,0.9099999999999999,0.61,0.34467098661407714
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3274436662239716
75% Corpus,6,0.9099999999999999,symmetric,0.34867266758899434
75% Corpus,6,symmetric,0.01,0.3543578412713793
75% Corpus,6,symmetric,0.31,0.37293901090264736
75% Corpus,6,symmetric,0.61,0.3643783649495895
75% Corpus,6,symmetric,0.9099999999999999,0.37519778071231397
75% Corpus,6,symmetric,symmetric,0.40470193587670605
75% Corpus,6,asymmetric,0.01,0.3875595296048498
75% Corpus,6,asymmetric,0.31,0.40472061076025523
75% Corpus,6,asymmetric,0.61,0.43068886329742195
75% Corpus,6,asymmetric,0.9099999999999999,0.39723556872901705
75% Corpus,6,asymmetric,symmetric,0.3988342029216749
75% Corpus,7,0.01,0.01,0.36990243987968785
75% Corpus,7,0.01,0.31,0.36735685872382984
75% Corpus,7,0.01,0.61,0.30112805927116454
75% Corpus,7,0.01,0.9099999999999999,0.33449742631244606
75% Corpus,7,0.01,symmetric,0.3796320024479218
75% Corpus,7,0.31,0.01,0.3799213843747891
75% Corpus,7,0.31,0.31,0.37755309094818357
75% Corpus,7,0.31,0.61,0.39095037882413364
75% Corpus,7,0.31,0.9099999999999999,0.37913406254850096
75% Corpus,7,0.31,symmetric,0.39592098376140467
75% Corpus,7,0.61,0.01,0.3942030185167949
75% Corpus,7,0.61,0.31,0.36296896996504735
75% Corpus,7,0.61,0.61,0.3615525694144423
75% Corpus,7,0.61,0.9099999999999999,0.3529609419890027
75% Corpus,7,0.61,symmetric,0.36223765262012175
75% Corpus,7,0.9099999999999999,0.01,0.35485712214324205
75% Corpus,7,0.9099999999999999,0.31,0.38430486354359755
75% Corpus,7,0.9099999999999999,0.61,0.3833966766767186
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3448385267841327
75% Corpus,7,0.9099999999999999,symmetric,0.3743285029305624
75% Corpus,7,symmetric,0.01,0.34331966776842565
75% Corpus,7,symmetric,0.31,0.3656923539168865
75% Corpus,7,symmetric,0.61,0.3731509969240915
75% Corpus,7,symmetric,0.9099999999999999,0.39021702456602386
75% Corpus,7,symmetric,symmetric,0.37668619455868874
75% Corpus,7,asymmetric,0.01,0.3818134402327509
75% Corpus,7,asymmetric,0.31,0.431186345332789
75% Corpus,7,asymmetric,0.61,0.3941929419401851
75% Corpus,7,asymmetric,0.9099999999999999,0.413933730881341
75% Corpus,7,asymmetric,symmetric,0.40111914545614635
75% Corpus,8,0.01,0.01,0.40218085456510266
75% Corpus,8,0.01,0.31,0.34960482341184856
75% Corpus,8,0.01,0.61,0.34974077504187906
75% Corpus,8,0.01,0.9099999999999999,0.3867485940179661
75% Corpus,8,0.01,symmetric,0.4015063063486438
75% Corpus,8,0.31,0.01,0.4319236948105824
75% Corpus,8,0.31,0.31,0.3789472364280488
75% Corpus,8,0.31,0.61,0.37753069945864093
75% Corpus,8,0.31,0.9099999999999999,0.3829611344064066
75% Corpus,8,0.31,symmetric,0.4149565116164522
75% Corpus,8,0.61,0.01,0.39844324408256904
75% Corpus,8,0.61,0.31,0.3742016767025407
75% Corpus,8,0.61,0.61,0.38682067450191226
75% Corpus,8,0.61,0.9099999999999999,0.3764252085565304
75% Corpus,8,0.61,symmetric,0.34340392542463133
75% Corpus,8,0.9099999999999999,0.01,0.36504974919740346
75% Corpus,8,0.9099999999999999,0.31,0.36340022183818
75% Corpus,8,0.9099999999999999,0.61,0.342354117413299
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3609029308262848
75% Corpus,8,0.9099999999999999,symmetric,0.3954913318467643
75% Corpus,8,symmetric,0.01,0.420903925374617
75% Corpus,8,symmetric,0.31,0.38723988252584995
75% Corpus,8,symmetric,0.61,0.37325027370590175
75% Corpus,8,symmetric,0.9099999999999999,0.3811554098115005
75% Corpus,8,symmetric,symmetric,0.394992477381679
75% Corpus,8,asymmetric,0.01,0.40583708963343407
75% Corpus,8,asymmetric,0.31,0.4321229034487155
75% Corpus,8,asymmetric,0.61,0.4157149851985501
75% Corpus,8,asymmetric,0.9099999999999999,0.439600936463907
75% Corpus,8,asymmetric,symmetric,0.4305944623454063
75% Corpus,9,0.01,0.01,0.4329983339870619
75% Corpus,9,0.01,0.31,0.416182952321501
75% Corpus,9,0.01,0.61,0.3814206871628989
75% Corpus,9,0.01,0.9099999999999999,0.3848663131034508
75% Corpus,9,0.01,symmetric,0.4081518275810374
75% Corpus,9,0.31,0.01,0.46119735952324525
75% Corpus,9,0.31,0.31,0.4194168214709324
75% Corpus,9,0.31,0.61,0.4157466606073503
75% Corpus,9,0.31,0.9099999999999999,0.40631472859714624
75% Corpus,9,0.31,symmetric,0.4110546057343901
75% Corpus,9,0.61,0.01,0.4359875296682463
75% Corpus,9,0.61,0.31,0.38237988167784925
75% Corpus,9,0.61,0.61,0.38441675487432264
